Function,Campaign,Budget,Owner
APAC,Agile Integration,785000,Helen Kim
APAC,Cloud Native App Dev,1054000,Helen Kim
EMEA,Agile Integration,437000,Brendan McErlain
EMEA,Cloud Native App Dev,2131000,Brendan McErlain
LATAM,Agile Integration,218000,Javier Haltrecht
LATAM,Cloud Native App Dev,736000,Javier Haltrecht
NA Commercial,Agile Integration,971000,Jeff Oberbillig
NA Commercial,Cloud Native App Dev,1597000,Jeff Oberbillig
NA Public Sector,Agile Integration,280000,Paige Lewis
NA Public Sector,Cloud Native App Dev,679000,Paige Lewis
Portfolio Awareness Center,Agile Integration,756000,Nick Wagner
Portfolio Awareness Center,Cloud Native App Dev,1260000,Nick Wagner
GDC Digital,Agile Integration,62000,Gretchen Miller
GDC Digital,Cloud Native App Dev,663000,Gretchen Miller
Global Demand Center,Agile Integration,275000,Corinne Russo
Global Demand Center,Cloud Native App Dev,650000,Sam McCoy